Trial,Replicate,IndividualID,FoodDate,Sex,PupationDate,PupalMass,PupationAge,EmergenceDate,EmergenceAge,Ultrasound
1 to 3,21,14,9/6/17,M,9/25/17,NA,20,NA,NA,N
1 to 3,11,36,8/7/17,M,8/25/17,0.239,19,NA,NA,N
1 to 3,18,26,8/30/17,M,9/15/17,0.3288,16,NA,NA,N
1 to 3,25,13,10/25/17,M,11/9/17,0.3954,16,11/17/17,23,N
1 to 3,25,22,10/25/17,M,11/9/17,0.369,16,11/17/17,23,N
1 to 3,25,31,10/25/17,M,11/9/17,0.4085,16,11/21/17,27,N
1 to 3,28,63,11/27/17,M,12/13/17,0.3012,16,NA,NA,N
1 to 3,29,28,12/4/17,M,12/20/17,0.3497,16,NA,NA,N
1 to 3,29,41,12/4/17,M,12/20/17,0.3251,16,NA,NA,N
1 to 3,11,19,8/7/17,M,8/21/17,0.3149,15,8/29/17,22,N
1 to 3,20,68,9/5/17,M,9/20/17,0.3173,15,9/29/17,24,N
1 to 3,21,1,9/6/17,M,9/20/17,0.3291,15,NA,NA,N
1 to 3,21,2,9/6/17,M,9/20/17,0.3842,15,NA,NA,N
1 to 3,21,4,9/6/17,M,9/20/17,0.3735,15,NA,NA,N
1 to 3,21,7,9/6/17,M,9/20/17,0.4785,15,NA,NA,N
1 to 3,21,10,9/6/17,M,9/20/17,0.3709,15,NA,NA,N
1 to 3,21,12,9/6/17,M,9/20/17,0.3767,15,NA,NA,N
1 to 3,21,16,9/6/17,M,9/20/17,0.4016,15,NA,NA,N
1 to 3,21,17,9/6/17,M,9/20/17,0.4031,15,NA,NA,N
1 to 3,25,2,10/25/17,M,11/8/17,0.3259,15,11/17/17,23,N
1 to 3,25,11,10/25/17,M,11/8/17,0.3874,15,11/17/17,23,N
1 to 3,25,17,10/25/17,M,11/8/17,0.3839,15,11/17/17,23,N
1 to 3,25,20,10/25/17,M,11/8/17,0.3341,15,11/17/17,23,N
1 to 3,25,25,10/25/17,M,11/8/17,0.351,15,11/17/17,23,N
1 to 3,25,26,10/25/17,M,11/8/17,0.331,15,11/17/17,23,N
1 to 3,25,27,10/25/17,M,11/8/17,0.339,15,11/20/17,26,N
1 to 3,25,30,10/25/17,M,11/8/17,0.4145,15,11/21/17,27,N
1 to 3,25,34,10/25/17,M,11/8/17,0.3076,15,11/19/17,25,N
1 to 3,25,38,10/25/17,M,11/8/17,0.3356,15,11/19/17,25,N
1 to 3,25,40,10/25/17,M,11/8/17,0.3502,15,11/19/17,25,N
1 to 3,25,41,10/25/17,M,11/8/17,0.3765,15,11/19/17,25,N
1 to 3,25,46,10/25/17,M,11/8/17,0.403,15,11/21/17,27,N
1 to 3,25,47,10/25/17,M,11/8/17,0.3551,15,11/19/17,25,N
1 to 3,25,50,10/25/17,M,11/8/17,0.3614,15,11/20/17,26,N
1 to 3,25,51,10/25/17,M,11/8/17,0.3545,15,11/19/17,25,N
1 to 3,25,59,10/25/17,M,11/8/17,0.422,15,11/19/17,25,N
1 to 3,26,12,10/30/17,M,11/13/17,0.3886,15,11/22/17,23,N
1 to 3,26,15,10/30/17,M,11/13/17,0.4125,15,11/24/17,25,N
1 to 3,26,24,10/30/17,M,11/13/17,0.4428,15,11/22/17,23,N
1 to 3,26,29,10/30/17,M,11/13/17,0.2908,15,11/25/17,26,N
1 to 3,26,30,10/30/17,M,11/13/17,0.3517,15,11/24/17,25,N
1 to 3,26,37,10/30/17,M,11/13/17,0.3492,15,11/24/17,25,N
1 to 3,26,46,10/30/17,M,11/13/17,0.4096,15,11/24/17,25,N
1 to 3,26,63,10/30/17,M,11/13/17,0.358,15,11/22/17,23,N
1 to 3,27,55,11/13/17,M,11/28/17,0.39,15,12/6/17,23,N
1 to 3,28,1,11/27/17,M,12/12/17,0.3698,15,NA,NA,N
